,LINK,MARKETCAP_RS_CR,P_BY_E,BOOK_VALUE_RS,DIV_PERCENT,MARKET_LOT,INDUSTRY_P_BY_E,EPS_TTM,P_BY_C,PRICE_BY_BOOK,DIV_YIELD_PERCENT,FACE_VALUE,sector,company_code,company_name
0,http://www.moneycontrol.com/india/stockpricequote/diversified/3mindia/MI42,22112.99,71.21,1364.33,0.0,1,21.24,275.66,62.76,14.39,,10.0,diversified,MI42,3mindia
1,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/8kmilessoftwareservices/PMS01,1493.99,305.97,28.49,0.0,1,22.18,1.6,261.79,17.18,,5.0,computerssoftware,PMS01,8kmilessoftwareservices
2,http://www.moneycontrol.com/india/stockpricequote/chemicals/aartiindustries/AI45,10029.98,31.7,200.01,20.0,1,22.75,38.92,22.18,6.17,0.08,5.0,chemicals,AI45,aartiindustries
3,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/abanoffshore/AO04,652.23,76.02,701.88,0.0,1,11.19,1.47,3.84,0.16,,2.0,oildrillingandexploration,AO04,abanoffshore
4,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/abbindia/ABB,25017.9,57.84,170.21,200.0,1,46.21,20.41,42.38,6.94,0.34,2.0,infrastructuregeneral,ABB,abbindia
5,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/abbottindia/AI51,15388.74,38.35,796.62,550.0,1,28.83,188.83,36.87,9.09,0.76,10.0,pharmaceuticals,AI51,abbottindia
6,http://www.moneycontrol.com/india/stockpricequote/cementmajor/acc/ACC06,25131.57,26.48,498.72,260.0,1,35.64,50.54,15.81,2.68,1.94,10.0,cementmajor,ACC06,acc
7,http://www.moneycontrol.com/india/stockpricequote/trading/adanienterprises/AE13,12416.86,63.07,36.04,40.0,1,43.05,1.79,43.59,3.13,0.35,1.0,trading,AE13,adanienterprises
8,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/adaniportsspecialeconomiczone/MPS,77039.41,30.82,93.06,65.0,1,37.91,12.07,25.94,4.0,0.35,2.0,infrastructuregeneral,MPS,adaniportsspecialeconomiczone
11,http://www.moneycontrol.com/india/stockpricequote/retail/adityabirlafashionretail/PFR,10680.64,90.46,12.43,0.0,1,68.9,1.53,26.77,11.13,,10.0,retail,PFR,adityabirlafashionretail
12,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/advancedenzymetechnologies/AET,2413.85,67.35,26.06,20.0,1,24.28,3.21,55.29,8.3,0.19,2.0,pharmaceuticals,AET,advancedenzymetechnologies
13,http://www.moneycontrol.com/india/stockpricequote/transportlogistics/aegislogistics/AL9,7102.51,70.41,16.74,105.0,1,40.69,3.02,59.73,12.7,0.49,1.0,transportlogistics,AL9,aegislogistics
14,http://www.moneycontrol.com/india/stockpricequote/castingsforgings/aiaengineering/AIE01,14080.62,29.96,306.61,400.0,1,26.61,49.82,26.35,4.87,0.54,2.0,castingsforgings,AIE01,aiaengineering
15,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/ajantapharma/AP22,8671.29,20.28,219.44,0.0,1,28.83,48.57,17.89,4.49,,2.0,pharmaceuticals,AP22,ajantapharma
16,http://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/akzonobelindia/ICI,8585.96,21.44,301.8,220.0,1,55.61,85.84,18.72,6.1,1.2,10.0,paintsvarnishes,ICI,akzonobelindia
